=====[Train] Iter: 499 | Loss: 0.5736 | Accuracy: 0.736654 =====
=====[Train] Iter: 999 | Loss: 0.6174 | Accuracy: 0.752767 =====
=====[Train] Iter: 1499 | Loss: 0.6464 | Accuracy: 0.648600 =====
=====[Train] Iter: 1999 | Loss: 0.5422 | Accuracy: 0.821615 =====
[Eval] Iter: 500 | Acc: 0.7521 | 2025-02-15 09:27:36.241724
[Eval] Iter: 1000 | Acc: 0.8215 | 2025-02-15 09:28:26.196444
[Eval] Iter: 1500 | Acc: 0.9111 | 2025-02-15 09:29:16.252320
[Eval] Iter: 2000 | Acc: 0.8029 | 2025-02-15 09:30:06.179940
[Eval] Iter: 2500 | Acc: 0.7300 | 2025-02-15 09:30:56.471037
[Eval] Iter: 3000 | Acc: 0.7790 | 2025-02-15 09:31:46.500161
[Eval] Iter: 3500 | Acc: 0.5169 | 2025-02-15 09:32:36.664897
[Eval] Iter: 4000 | Acc: 0.8218 | 2025-02-15 09:33:26.834459
[Eval] Iter: 4500 | Acc: 0.6222 | 2025-02-15 09:34:16.852572
[Eval] Iter: 5000 | Acc: 0.6831 | 2025-02-15 09:35:06.924940
[Eval] Iter: 5500 | Acc: 0.7528 | 2025-02-15 09:35:56.970070
[Eval] Iter: 6000 | Acc: 0.7437 | 2025-02-15 09:36:47.141891
[Eval] Iter: 6500 | Acc: 0.7098 | 2025-02-15 09:37:37.482616
[Eval] Iter: 7000 | Acc: 0.8590 | 2025-02-15 09:38:27.857863
[Eval] Iter: 7500 | Acc: 0.8739 | 2025-02-15 09:39:18.268560
[Eval] Iter: 8000 | Acc: 0.8348 | 2025-02-15 09:40:08.506399
[Eval] Iter: 8500 | Acc: 0.6172 | 2025-02-15 09:40:58.767610
[Eval] Iter: 9000 | Acc: 0.8088 | 2025-02-15 09:41:48.955635
[Eval] Iter: 9500 | Acc: 0.8747 | 2025-02-15 09:42:39.072032
[Eval] Iter: 10000 | Acc: 0.9546 | 2025-02-15 09:43:29.534447
[Eval] Iter: 10500 | Acc: 0.6045 | 2025-02-15 09:44:19.815837
[Eval] Iter: 11000 | Acc: 0.6662 | 2025-02-15 09:45:10.079988
[Eval] Iter: 11500 | Acc: 0.7174 | 2025-02-15 09:46:00.306430
[Eval] Iter: 12000 | Acc: 0.8172 | 2025-02-15 09:46:50.553149
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.586459 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.586459 =====
=====Best Valid IoU Is: 0.586459 =====
=====[Train] Iter: 2499 | Loss: 0.5775 | Accuracy: 0.757812 =====
=====[Train] Iter: 2999 | Loss: 0.3258 | Accuracy: 0.907389 =====
=====[Train] Iter: 3499 | Loss: 0.4039 | Accuracy: 0.832357 =====
=====[Train] Iter: 3999 | Loss: 0.2670 | Accuracy: 0.920573 =====
[Eval] Iter: 500 | Acc: 0.7093 | 2025-02-15 09:54:39.881166
[Eval] Iter: 1000 | Acc: 0.8327 | 2025-02-15 09:55:24.239337
[Eval] Iter: 1500 | Acc: 0.9023 | 2025-02-15 09:56:06.390732
[Eval] Iter: 2000 | Acc: 0.8027 | 2025-02-15 09:56:45.729616
[Eval] Iter: 2500 | Acc: 0.7384 | 2025-02-15 09:57:25.097908
[Eval] Iter: 3000 | Acc: 0.7738 | 2025-02-15 09:58:04.464456
[Eval] Iter: 3500 | Acc: 0.5243 | 2025-02-15 09:58:43.823446
[Eval] Iter: 4000 | Acc: 0.8136 | 2025-02-15 09:59:23.194701
[Eval] Iter: 4500 | Acc: 0.6475 | 2025-02-15 10:00:02.569247
[Eval] Iter: 5000 | Acc: 0.6733 | 2025-02-15 10:00:41.950091
[Eval] Iter: 5500 | Acc: 0.7925 | 2025-02-15 10:01:21.298909
[Eval] Iter: 6000 | Acc: 0.7736 | 2025-02-15 10:02:00.643994
[Eval] Iter: 6500 | Acc: 0.6737 | 2025-02-15 10:02:40.005176
[Eval] Iter: 7000 | Acc: 0.8561 | 2025-02-15 10:03:19.347071
[Eval] Iter: 7500 | Acc: 0.8908 | 2025-02-15 10:03:58.694787
[Eval] Iter: 8000 | Acc: 0.8670 | 2025-02-15 10:04:38.106315
